epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1945.61,0.06805,2.9481,0.10726,0.78017,0.72227,0.67284,0.67117,0.01101,0.61361,0.02091,0.00333178,0.00333178,0.00333178
2,3863.14,0.05019,0.76133,0.05811,0.77855,0.76487,0.71982,0.71057,0.02387,0.60058,0.06106,0.00659913,0.00659913,0.00659913
3,5740.16,0.09575,0.72803,0.10848,0.81884,0.78211,0.75767,0.75014,0.02608,0.52841,0.04605,0.00980047,0.00980047,0.00980047
4,7519.01,0.12137,0.71363,0.1376,0.85341,0.83913,0.82589,0.82328,0.03313,0.44467,0.06033,0.009703,0.009703,0.009703
5,9370.98,0.11176,0.68671,0.12445,0.90173,0.8788,0.87012,0.86767,0.01933,0.34622,0.04572,0.009604,0.009604,0.009604
6,11265.4,0.1064,0.66207,0.11683,0.91485,0.90067,0.89027,0.8891,0.01538,0.29814,0.03126,0.009505,0.009505,0.009505
7,13168.2,0.10697,0.64419,0.1142,0.93339,0.91789,0.91133,0.91017,0.0239,0.27166,0.0443,0.009406,0.009406,0.009406
8,14976,0.10643,0.62196,0.11274,0.94599,0.93156,0.92546,0.92467,0.01515,0.2284,0.0339,0.009307,0.009307,0.009307
9,16780.6,0.10038,0.61418,0.10596,0.95247,0.94345,0.94258,0.94203,0.01418,0.20242,0.03456,0.009208,0.009208,0.009208
10,18658.3,0.10036,0.59988,0.10563,0.96155,0.95293,0.95159,0.95092,0.01574,0.18794,0.03744,0.009109,0.009109,0.009109
11,20559.6,0.09722,0.58582,0.10257,0.96262,0.95905,0.95785,0.95701,0.01293,0.17121,0.03163,0.00901,0.00901,0.00901
12,22387.8,0.09828,0.57133,0.10228,0.96615,0.96226,0.96025,0.95959,0.01158,0.15851,0.0295,0.008911,0.008911,0.008911
13,24266.4,0.0972,0.56634,0.10048,0.96862,0.96096,0.96046,0.96031,0.01205,0.15519,0.03378,0.008812,0.008812,0.008812
14,26119.2,0.09709,0.55194,0.10056,0.96858,0.96327,0.96234,0.96203,0.00873,0.14569,0.02551,0.008713,0.008713,0.008713
15,27905.5,0.09266,0.5405,0.09672,0.97356,0.96674,0.96286,0.96275,0.00891,0.13816,0.02583,0.008614,0.008614,0.008614
16,29649.6,0.0908,0.53418,0.09484,0.97437,0.96819,0.96495,0.96424,0.00879,0.13479,0.02548,0.008515,0.008515,0.008515
17,31481.2,0.09116,0.52753,0.09545,0.97599,0.96897,0.96884,0.96836,0.00906,0.13329,0.02667,0.008416,0.008416,0.008416
18,33252.5,0.08915,0.52011,0.09292,0.97138,0.96939,0.96878,0.96845,0.00896,0.13904,0.02657,0.008317,0.008317,0.008317
19,34980.2,0.08819,0.51177,0.09112,0.96608,0.97105,0.96817,0.96785,0.00941,0.1449,0.02709,0.008218,0.008218,0.008218
20,36755.2,0.08591,0.50946,0.08856,0.97251,0.97301,0.97062,0.97014,0.00907,0.1361,0.02697,0.008119,0.008119,0.008119
21,38511.9,0.08837,0.50012,0.09071,0.97317,0.96902,0.97064,0.96996,0.0089,0.1337,0.02647,0.00802,0.00802,0.00802
22,40281.8,0.08264,0.49188,0.08685,0.97233,0.97016,0.96884,0.96861,0.0082,0.13305,0.02422,0.007921,0.007921,0.007921
23,41627.2,0.06775,0.48148,0.07688,0.98062,0.96904,0.97127,0.97079,0.00797,0.12183,0.02425,0.007822,0.007822,0.007822
24,42674.5,0.05268,0.46527,0.06541,0.98011,0.97305,0.97145,0.97136,0.00853,0.12098,0.02526,0.007723,0.007723,0.007723
25,43720.6,0.05528,0.4618,0.06613,0.98218,0.97144,0.97148,0.97119,0.00865,0.12224,0.02631,0.007624,0.007624,0.007624
26,44766.1,0.047,0.45054,0.0575,0.9807,0.97343,0.97156,0.97146,0.00954,0.12491,0.02905,0.007525,0.007525,0.007525
27,45812.6,0.05294,0.44402,0.06078,0.98142,0.97562,0.97362,0.97354,0.01052,0.12717,0.03142,0.007426,0.007426,0.007426
28,46862.1,0.05076,0.44229,0.05898,0.98304,0.97778,0.97567,0.97539,0.0115,0.12872,0.03434,0.007327,0.007327,0.007327
29,47909.5,0.04188,0.43389,0.04858,0.98263,0.97795,0.97566,0.9754,0.01203,0.12992,0.03598,0.007228,0.007228,0.007228
30,48952.7,0.05058,0.43678,0.05545,0.98402,0.97862,0.97771,0.97747,0.01293,0.13027,0.03771,0.007129,0.007129,0.007129
31,49996.9,0.04496,0.42399,0.049,0.98433,0.97891,0.97775,0.97751,0.01379,0.13013,0.04079,0.00703,0.00703,0.00703
32,51045.2,0.04192,0.4119,0.04611,0.98342,0.97893,0.9778,0.97756,0.01424,0.12924,0.04207,0.006931,0.006931,0.006931
33,52091.4,0.03927,0.40439,0.04285,0.98392,0.98013,0.97779,0.97775,0.01508,0.12872,0.04557,0.006832,0.006832,0.006832
34,53137,0.03956,0.41037,0.04267,0.98232,0.9798,0.97774,0.97771,0.01567,0.12817,0.04774,0.006733,0.006733,0.006733
35,54202.6,0.04308,0.40697,0.04633,0.93738,0.97752,0.97324,0.9732,0.01595,0.19525,0.04797,0.006634,0.006634,0.006634
36,55247.9,0.04045,0.4001,0.04417,0.94805,0.97939,0.97569,0.97566,0.01546,0.17639,0.04609,0.006535,0.006535,0.006535
37,56711.1,0.03686,0.39287,0.04,0.96846,0.98098,0.97572,0.97569,0.01472,0.14299,0.04375,0.006436,0.006436,0.006436
38,58489.1,0.0417,0.39288,0.0449,0.98606,0.98174,0.98013,0.9801,0.01404,0.113,0.04202,0.006337,0.006337,0.006337
39,60277,0.03658,0.38752,0.04025,0.98602,0.98171,0.97821,0.97818,0.0136,0.1096,0.04075,0.006238,0.006238,0.006238
