epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,358.896,0.17459,1.42373,0.95861,0.57065,0.75576,0.7179,0.71665,0.18069,0.90786,0.2788,0.070028,0.00333022,0.00333022
2,707.551,0.14676,0.97783,0.91511,0.49877,0.77659,0.72522,0.72071,0.25169,1.10793,0.37432,0.039962,0.00659759,0.00659759
3,1062.66,0.14819,0.95632,0.91406,0.54807,0.70105,0.69719,0.69228,0.2409,0.97639,0.36971,0.00983007,0.00979895,0.00979895
4,1421.81,0.12011,0.92939,0.90786,0.63228,0.7774,0.76773,0.74732,0.26211,0.82123,0.40584,0.009703,0.009703,0.009703
5,1777.11,0.09445,0.87046,0.90146,0.73539,0.77996,0.83724,0.83002,0.24942,0.74173,0.37205,0.009604,0.009604,0.009604
6,2125.98,0.0832,0.83969,0.89611,0.73615,0.81511,0.86094,0.85432,0.2519,0.76396,0.39094,0.009505,0.009505,0.009505
7,2475.06,0.07425,0.81026,0.89476,0.78713,0.8121,0.8784,0.87437,0.22875,0.68035,0.3653,0.009406,0.009406,0.009406
8,2825.55,0.07167,0.78783,0.89228,0.78726,0.82829,0.88997,0.87696,0.23718,0.6936,0.37441,0.009307,0.009307,0.009307
9,3202.76,inf,0.77411,0.89284,0.82258,0.85136,0.90959,0.90427,0.25159,0.61863,0.38604,0.009208,0.009208,0.009208
10,3575.03,0.0636,0.76592,0.89225,0.83604,0.85373,0.91941,0.91303,0.24865,0.60147,0.38316,0.009109,0.009109,0.009109
11,3938.94,0.0625,0.75129,0.89063,0.83591,0.86401,0.92067,0.91139,0.2465,0.59697,0.3861,0.00901,0.00901,0.00901
12,4304.34,0.06002,0.74015,0.89014,0.85267,0.85877,0.92632,0.92158,0.24119,0.59633,0.37693,0.008911,0.008911,0.008911
13,4927.87,0.05799,0.73457,0.88918,0.85843,0.86269,0.92929,0.9264,0.23734,0.59812,0.37381,0.008812,0.008812,0.008812
14,5574.37,0.05747,0.72294,0.89023,0.85222,0.87291,0.93158,0.92432,0.23926,0.59497,0.37581,0.008713,0.008713,0.008713
15,6204.02,0.05564,0.7144,0.8898,0.85497,0.87142,0.93359,0.92074,0.23837,0.59043,0.3757,0.008614,0.008614,0.008614
16,6853.58,inf,0.70841,0.8903,0.85779,0.8761,0.93545,0.92497,0.24013,0.57974,0.378,0.008515,0.008515,0.008515
17,7459.71,0.05569,0.69935,0.88906,0.85972,0.87879,0.93594,0.92801,0.23996,0.58013,0.37932,0.008416,0.008416,0.008416
18,8073.96,0.05487,0.69715,0.8887,0.86506,0.88081,0.93763,0.92864,0.24063,0.57524,0.37794,0.008317,0.008317,0.008317
19,8738.93,0.05373,0.68624,0.8882,0.8691,0.87779,0.93854,0.93208,0.24033,0.57369,0.37677,0.008218,0.008218,0.008218
20,9096.85,0.05386,0.69203,0.88789,0.87337,0.87491,0.93918,0.93193,0.24098,0.57285,0.37749,0.008119,0.008119,0.008119
21,9477.19,0.05268,0.67362,0.88894,0.87344,0.87816,0.93997,0.93624,0.24034,0.56729,0.37607,0.00802,0.00802,0.00802
22,9888.17,0.05473,0.67797,0.88799,0.87523,0.87619,0.94072,0.9378,0.23857,0.56143,0.37389,0.007921,0.007921,0.007921
23,10219.8,inf,0.67443,0.89055,0.87242,0.88223,0.9416,0.93619,0.25978,0.54823,0.41649,0.007822,0.007822,0.007822
24,10591.2,0.0528,0.66013,0.88788,0.87339,0.8819,0.94186,0.93585,0.31685,0.54019,0.54329,0.007723,0.007723,0.007723
25,10996.3,0.0515,0.66142,0.88822,0.87405,0.88184,0.94261,0.93738,0.31147,0.54051,0.53276,0.007624,0.007624,0.007624
26,11327.9,0.05159,0.64734,0.88822,0.87258,0.88601,0.94355,0.93962,0.29513,0.53699,0.49704,0.007525,0.007525,0.007525
27,11721,inf,0.64633,0.88834,0.86587,0.89766,0.9448,0.94125,0.27903,0.53373,0.46678,0.007426,0.007426,0.007426
28,12120.4,0.05003,0.64354,0.88853,0.87013,0.89826,0.94598,0.94263,0.26547,0.53262,0.44183,0.007327,0.007327,0.007327
29,12463.9,inf,0.63443,0.88817,0.86927,0.90141,0.94745,0.94411,0.2516,0.52886,0.41559,0.007228,0.007228,0.007228
30,12863.5,0.04916,0.63284,0.88685,0.87501,0.89913,0.94851,0.94504,0.24014,0.52398,0.39489,0.007129,0.007129,0.007129
31,13226.8,0.05166,0.63544,0.88639,0.87916,0.90001,0.94999,0.94631,0.23001,0.51544,0.37562,0.00703,0.00703,0.00703
32,13576.5,0.05026,0.62296,0.88612,0.88264,0.89958,0.95153,0.94794,0.22338,0.50612,0.36207,0.006931,0.006931,0.006931
33,13974.3,inf,0.62161,0.88772,0.88385,0.90145,0.95308,0.94939,0.2176,0.49622,0.35023,0.006832,0.006832,0.006832
34,14294,0.05064,0.62154,0.88675,0.88429,0.90565,0.95456,0.95069,0.21197,0.48783,0.3421,0.006733,0.006733,0.006733
35,14657.9,0.04912,0.61294,0.88796,0.88709,0.90845,0.95595,0.9522,0.20758,0.47941,0.33536,0.006634,0.006634,0.006634
36,15056.3,0.04895,0.60832,0.88754,0.89026,0.9093,0.95741,0.95384,0.20406,0.46744,0.32888,0.006535,0.006535,0.006535
37,15396.2,0.05047,0.61066,0.88733,0.89434,0.90983,0.95887,0.95529,0.19972,0.46243,0.3227,0.006436,0.006436,0.006436
38,15794.3,0.04789,0.60328,0.88722,0.89621,0.91034,0.96036,0.95668,0.19575,0.45624,0.31665,0.006337,0.006337,0.006337
39,16203.4,0.04764,0.59903,0.88534,0.89965,0.9144,0.96221,0.9588,0.19206,0.44816,0.3108,0.006238,0.006238,0.006238
40,16548.4,0.04882,0.60458,0.88599,0.90732,0.913,0.96361,0.96079,0.19028,0.43958,0.30677,0.006139,0.006139,0.006139
41,16959.7,0.04784,0.58644,0.88848,0.9091,0.91427,0.96495,0.96255,0.18723,0.43205,0.30171,0.00604,0.00604,0.00604
42,17361.9,0.04816,0.59154,0.88868,0.91009,0.91726,0.96633,0.96436,0.18468,0.42589,0.29796,0.005941,0.005941,0.005941
43,17711.6,0.04846,0.59363,0.88788,0.91014,0.92,0.96753,0.966,0.18601,0.41733,0.29765,0.005842,0.005842,0.005842
44,18108.6,inf,0.59188,0.88739,0.91538,0.91999,0.96884,0.96749,0.18431,0.41054,0.29531,0.005743,0.005743,0.005743
45,18432.5,0.04537,0.58699,0.88674,0.91726,0.9224,0.9701,0.96889,0.18328,0.40518,0.29384,0.005644,0.005644,0.005644
46,18778.6,0.0448,0.57502,0.8866,0.91773,0.92567,0.97143,0.97045,0.18076,0.39877,0.29062,0.005545,0.005545,0.005545
47,19173.2,0.04493,0.57016,0.88662,0.91949,0.92849,0.97255,0.97153,0.1805,0.39394,0.2891,0.005446,0.005446,0.005446
48,19512.3,0.04397,0.56898,0.88477,0.9243,0.92725,0.97355,0.97255,0.18683,0.40276,0.29435,0.005347,0.005347,0.005347
49,19900.3,0.04341,0.56366,0.88483,0.92793,0.92706,0.97415,0.9716,0.21199,0.4329,0.30348,0.005248,0.005248,0.005248
50,20302.9,0.04326,0.55685,0.88512,0.92837,0.92832,0.97493,0.97231,0.21731,0.43786,0.31661,0.005149,0.005149,0.005149
51,20655.2,0.04344,0.55618,0.88651,0.92937,0.9294,0.97585,0.97367,0.22596,0.44046,0.34571,0.00505,0.00505,0.00505
52,21055.2,0.0438,0.54995,0.88447,0.93577,0.9259,0.9767,0.97462,0.22526,0.43453,0.34941,0.004951,0.004951,0.004951
53,21403.1,0.04422,0.55464,0.8869,0.93929,0.92818,0.97757,0.97576,0.22129,0.42419,0.3426,0.004852,0.004852,0.004852
54,21754.2,0.04307,0.54013,0.88523,0.93998,0.9296,0.97842,0.97682,0.21774,0.41589,0.33642,0.004753,0.004753,0.004753
55,22158,0.04217,0.54716,0.88577,0.94116,0.93117,0.97913,0.97758,0.2133,0.4082,0.3299,0.004654,0.004654,0.004654
56,22470.6,0.04121,0.54165,0.88426,0.94082,0.93512,0.97981,0.97837,0.20832,0.39955,0.32169,0.004555,0.004555,0.004555
57,22856,0.04227,0.53927,0.88777,0.93969,0.93753,0.98053,0.97949,0.20489,0.39001,0.31499,0.004456,0.004456,0.004456
58,23252.8,0.04136,0.52763,0.88636,0.93961,0.94103,0.98121,0.98052,0.20134,0.3832,0.30959,0.004357,0.004357,0.004357
59,23781.9,inf,0.52657,0.88574,0.93898,0.94652,0.98182,0.98141,0.19953,0.37831,0.30673,0.004258,0.004258,0.004258
60,24999.1,0.04063,0.52426,0.88395,0.94255,0.94441,0.98219,0.98205,0.19753,0.37652,0.3045,0.004159,0.004159,0.004159
61,26061.4,0.04196,0.52596,0.88611,0.94455,0.94396,0.98238,0.9823,0.20068,0.37358,0.30634,0.00406,0.00406,0.00406
62,26865.1,0.04178,0.52436,0.88595,0.94488,0.94523,0.98233,0.98225,0.20163,0.37531,0.30654,0.003961,0.003961,0.003961
63,27747.7,0.04075,0.5145,0.88521,0.946,0.94731,0.98293,0.98287,0.19847,0.37498,0.30458,0.003862,0.003862,0.003862
64,28804.1,0.03958,0.51464,0.88406,0.94238,0.95251,0.98364,0.98356,0.1942,0.37505,0.30206,0.003763,0.003763,0.003763
65,29826.2,0.03969,0.51611,0.88461,0.90032,0.90474,0.96183,0.96155,0.20255,0.46371,0.31267,0.003664,0.003664,0.003664
66,30694.4,inf,0.50199,0.88607,0.79499,0.80422,0.87918,0.87761,0.21671,0.74292,0.33082,0.003565,0.003565,0.003565
67,31683.8,inf,0.67072,0.89244,0.61467,0.64706,0.6512,0.64339,0.35313,1.2182,0.52943,0.003466,0.003466,0.003466
68,32587.6,0.18865,1.15935,0.96225,0.15586,0.6,0.15982,0.14384,0.6206,3.31856,0.99567,0.003367,0.003367,0.003367
69,32950.4,0.20039,1.29417,0.95662,0,0,0,0,0.289,0.23754,0.27207,0.003268,0.003268,0.003268
70,33294.9,0.18345,1.28119,0.94153,0,0,0,0,0.27794,0.23333,0.25498,0.003169,0.003169,0.003169
71,33667.9,0.19769,1.28582,0.94836,0,0,0,0,0.28952,0.23828,0.26542,0.00307,0.00307,0.00307
72,33991.1,0.18459,1.26293,0.93446,0,0,0,0,0.3063,0.24067,0.28073,0.002971,0.002971,0.002971
73,34337.4,0.17496,1.25642,0.92704,0,0,0,0,0.30884,0.24087,0.28291,0.002872,0.002872,0.002872
74,34712.5,0.15243,1.25544,0.91909,0,0,0,0,0.31667,0.2417,0.29003,0.002773,0.002773,0.002773
75,35051.2,0.14079,1.2494,0.91468,0,0,0,0,0.31454,0.24133,0.28805,0.002674,0.002674,0.002674
76,35424.1,0.12026,1.24543,0.9112,0,0,0,0,1.20053,6.0639,14.8125,0.002575,0.002575,0.002575
77,35890.7,0.10596,1.23849,0.90548,0,0,0,0,2.27816,5.74372,23.8846,0.002476,0.002476,0.002476
78,36767.8,0.09759,1.22743,0.90256,0,0,0,0,2.47617,6.16345,27.9157,0.002377,0.002377,0.002377
79,37759.9,0.09079,1.21964,0.90204,0,0,0,0,3.00214,5.72685,27.2416,0.002278,0.002278,0.002278
80,38671.2,0.08564,1.20612,0.89951,0,0,0,0,0.61728,0.6572,6.47876,0.002179,0.002179,0.002179
81,39733,0.08493,1.19892,0.90014,0,0,0,0,0.5186,0.74715,5.07236,0.00208,0.00208,0.00208
82,40718.2,0.08377,1.19283,0.89586,0,0,0,0,0.43648,0.8364,4.3588,0.001981,0.001981,0.001981
83,41675.5,0.08091,1.18438,0.90025,0,0,0,0,0.46393,0.69946,2.89578,0.001882,0.001882,0.001882
84,42610.3,0.07673,1.18002,0.89665,0,0,0,0,0.36254,0.24518,0.3333,0.001783,0.001783,0.001783
85,43512.5,0.07386,1.17154,0.89702,0,0,0,0,0.36975,0.24633,0.33995,0.001684,0.001684,0.001684
86,44486,0.07264,1.16529,0.89579,0,0,0,0,0.37382,0.24677,0.34367,0.001585,0.001585,0.001585
87,45396.3,inf,1.15434,0.89528,0,0,0,0,0.37737,0.24677,0.34698,0.001486,0.001486,0.001486
88,46256.4,0.07114,1.14807,0.89538,0,0,0,0,0.37925,0.24697,0.3487,0.001387,0.001387,0.001387
89,47031.5,0.07178,1.14593,0.89603,0,0,0,0,0.38109,0.24728,0.3504,0.001288,0.001288,0.001288
90,47699.7,0.06951,1.13378,0.895,0,0,0,0,0.38078,0.2472,0.35012,0.001189,0.001189,0.001189
91,48446.6,0.04315,1.07102,0.90166,0,0,0,0,0.37925,0.24697,0.34871,0.00109,0.00109,0.00109
92,49193.6,0.03508,1.04517,0.8983,0,0,0,0,0.37733,0.30919,0.3469,0.000991,0.000991,0.000991
93,49982.3,0.03131,1.01862,0.89631,0,0,0,0,0.50227,0.89587,3.39491,0.000892,0.000892,0.000892
94,50892.7,0.02858,0.99938,0.89471,0,0,0,0,0.44754,0.77717,3.11041,0.000793,0.000793,0.000793
