epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.7391,0.40044,2.08843,1.13215,0.67256,0.46618,0.34841,0.34779,0.17552,1.48207,0.31106,0.00331197,0.00331197,0.00331197
2,174.09,0.23363,1.21895,0.95734,0.23988,0.67563,0.3373,0.31081,0.27326,1.71814,0.30215,0.00657951,0.00657951,0.00657951
3,321.439,0.2576,1.09216,0.96668,0.35884,0.5459,0.25413,0.16324,0.71048,2.5579,0.94217,0.00978106,0.00978106,0.00978106
4,391.019,0.2436,0.98293,0.95727,0.21239,0.7402,0.31099,0.2743,0.32061,1.77264,0.44959,0.009703,0.009703,0.009703
5,456.71,0.2079,0.91539,0.93791,0.46122,0.57688,0.37376,0.34607,0.29567,0.96768,0.43341,0.009604,0.009604,0.009604
6,529.353,0.18107,0.8821,0.92873,0.64829,0.34089,0.28669,0.28576,0.23529,1.26976,0.36731,0.009505,0.009505,0.009505
7,594.12,0.16058,0.83642,0.91579,0.34771,0.60473,0.47825,0.47085,0.30395,1.2833,0.43166,0.009406,0.009406,0.009406
8,672.925,0.14961,0.82777,0.91582,0.74698,0.4881,0.46441,0.45115,0.31182,0.85048,0.4051,0.009307,0.009307,0.009307
9,731.855,0.13809,0.79093,0.91052,0.28718,0.67619,0.45376,0.44694,0.22764,1.03516,0.3753,0.009208,0.009208,0.009208
10,792.422,0.13175,0.78711,0.9094,0.26912,0.61638,0.3972,0.38619,0.245,1.01596,0.34141,0.009109,0.009109,0.009109
11,856.369,0.12713,0.77851,0.90866,0.78297,0.44507,0.48825,0.48817,0.26003,0.86926,0.38404,0.00901,0.00901,0.00901
12,940.959,0.12208,0.7665,0.90563,0.78062,0.44808,0.52455,0.52255,0.35707,0.85712,0.5133,0.008911,0.008911,0.008911
13,1017.48,0.11909,0.74492,0.90424,0.63778,0.57865,0.53795,0.51894,0.34552,0.77165,0.54816,0.008812,0.008812,0.008812
14,1077.4,0.11325,0.74509,0.90342,0.42017,0.61811,0.55615,0.54735,0.23686,1.00292,0.38036,0.008713,0.008713,0.008713
15,1136.46,0.10904,0.73526,0.89913,0.81277,0.4402,0.5388,0.53695,0.21811,0.8024,0.3511,0.008614,0.008614,0.008614
16,1220.43,0.10477,0.7328,0.90152,0.63368,0.58793,0.53068,0.52539,0.19729,0.70962,0.30761,0.008515,0.008515,0.008515
17,1280.25,0.10101,0.7435,0.8964,0.37986,0.67561,0.49765,0.48774,0.22371,0.75443,0.36945,0.008416,0.008416,0.008416
18,1339.2,0.10152,0.7425,0.90093,0.3882,0.62737,0.52693,0.51896,0.20678,0.78138,0.33335,0.008317,0.008317,0.008317
19,1400.15,0.09615,0.72404,0.89538,0.41354,0.61275,0.54527,0.53705,0.20377,0.91451,0.34898,0.008218,0.008218,0.008218
20,1460.9,0.09259,0.70441,0.89709,0.79389,0.47278,0.52853,0.52396,0.16533,0.72955,0.27458,0.008119,0.008119,0.008119
21,1520.95,0.08801,0.68798,0.89489,0.4025,0.63821,0.58436,0.58216,0.23594,0.7449,0.3703,0.00802,0.00802,0.00802
22,1580.68,0.0878,0.70193,0.89613,0.38692,0.65243,0.56248,0.56248,0.13094,0.80252,0.22855,0.007921,0.007921,0.007921
