epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,175.251,0.16875,6.378,0.28329,0.83581,0.27298,0.19486,0.19019,0.03064,0.95276,0.08327,0.00332262,0.00332262,0.00332262
2,339.796,0.07258,0.81975,0.10193,0.59089,0.39228,0.33676,0.33458,0.0353,0.6978,0.08433,0.00659005,0.00659005,0.00659005
3,500.194,0.10607,0.75076,0.13363,0.66761,0.45889,0.39346,0.38986,0.04549,0.72279,0.08756,0.00979149,0.00979149,0.00979149
4,660.767,0.13486,0.72755,0.16105,0.75908,0.53592,0.50354,0.48593,0.08159,0.61803,0.11238,0.009703,0.009703,0.009703
5,821.357,0.13353,0.70092,0.16026,0.77798,0.47703,0.45108,0.44753,0.05924,0.59238,0.09447,0.009604,0.009604,0.009604
6,982.049,0.14915,0.69391,0.16781,0.73424,0.428,0.38906,0.36316,0.10978,0.63982,0.17906,0.009505,0.009505,0.009505
7,1142.78,0.12659,0.66428,0.1495,0.79165,0.49399,0.46361,0.46215,0.05558,0.57313,0.11053,0.009406,0.009406,0.009406
8,1304.01,0.13013,0.65641,0.15271,0.77263,0.43678,0.4047,0.40181,0.03999,0.6881,0.07769,0.009307,0.009307,0.009307
9,1467.26,0.1185,0.64603,0.13797,0.7645,0.48328,0.45434,0.44835,0.05126,0.5794,0.08759,0.009208,0.009208,0.009208
10,1627.92,0.12184,0.6572,0.13936,0.83201,0.51323,0.47579,0.47527,0.03555,0.52302,0.06315,0.009109,0.009109,0.009109
11,1786.9,0.12446,0.63458,0.13995,0.72004,0.53351,0.49439,0.49398,0.03024,0.51482,0.05107,0.00901,0.00901,0.00901
12,1947.02,0.11964,0.62835,0.13944,0.76682,0.53526,0.50629,0.50523,0.04122,0.52389,0.07524,0.008911,0.008911,0.008911
13,2106.29,0.10999,0.63088,0.12599,0.71591,0.53425,0.49791,0.49646,0.02767,0.52477,0.0592,0.008812,0.008812,0.008812
14,2264.97,0.11503,0.62885,0.12843,0.8438,0.53041,0.49972,0.49699,0.03167,0.52421,0.06092,0.008713,0.008713,0.008713
15,2423.78,0.11115,0.59763,0.12635,0.71964,0.53959,0.50805,0.50692,0.02856,0.49695,0.05519,0.008614,0.008614,0.008614
16,2583.37,0.10188,0.61895,0.11453,0.71491,0.62108,0.58531,0.58318,0.02633,0.47459,0.04637,0.008515,0.008515,0.008515
17,2742.88,0.10875,0.62099,0.1185,0.70389,0.61053,0.56938,0.56333,0.0406,0.48524,0.10364,0.008416,0.008416,0.008416
18,2900.93,0.1036,0.62016,0.1149,0.76892,0.57684,0.54041,0.53738,0.03391,0.48092,0.06392,0.008317,0.008317,0.008317
19,3060.7,0.10694,0.60416,0.11677,0.71515,0.51734,0.48447,0.4837,0.02729,0.50933,0.04884,0.008218,0.008218,0.008218
20,3220.33,0.10434,0.60057,0.11398,0.8073,0.56375,0.53232,0.53169,0.03094,0.51657,0.05629,0.008119,0.008119,0.008119
21,3378.98,0.10089,0.593,0.11004,0.74312,0.63775,0.58631,0.58391,0.02997,0.46548,0.05373,0.00802,0.00802,0.00802
22,3538.13,0.10396,0.61652,0.11574,0.76545,0.50219,0.47929,0.47717,0.02227,0.50626,0.05859,0.007921,0.007921,0.007921
23,3697.08,0.10186,0.58354,0.1079,0.75231,0.56431,0.53549,0.53498,0.01671,0.46998,0.03546,0.007822,0.007822,0.007822
24,3855.67,0.09755,0.59156,0.10303,0.70181,0.61402,0.5714,0.57074,0.02847,0.46899,0.04538,0.007723,0.007723,0.007723
25,4013.93,0.09259,0.58371,0.09796,0.68156,0.63128,0.57456,0.57357,0.02552,0.4837,0.04463,0.007624,0.007624,0.007624
26,4172.69,0.09202,0.57138,0.09731,0.77118,0.61127,0.56653,0.56587,0.03363,0.46705,0.05585,0.007525,0.007525,0.007525
27,4331.14,0.09626,0.57823,0.09803,0.78129,0.61831,0.58411,0.58296,0.02462,0.44344,0.04653,0.007426,0.007426,0.007426
28,4490.01,0.08375,0.57989,0.09149,0.76535,0.62387,0.58419,0.58362,0.02084,0.43603,0.04252,0.007327,0.007327,0.007327
29,4647.87,0.08383,0.58146,0.09015,0.74922,0.60177,0.55471,0.55444,0.0166,0.46312,0.03689,0.007228,0.007228,0.007228
30,4805.59,0.08209,0.5676,0.08815,0.72874,0.606,0.57626,0.57589,0.02067,0.46077,0.04404,0.007129,0.007129,0.007129
31,4964.3,0.07917,0.55999,0.08733,0.70127,0.6257,0.56063,0.54863,0.02973,0.4938,0.06207,0.00703,0.00703,0.00703
32,5122.46,0.08019,0.54407,0.08519,0.73016,0.64726,0.60066,0.59874,0.01779,0.43914,0.04175,0.006931,0.006931,0.006931
33,5282.03,0.08181,0.56866,0.08621,0.7604,0.63377,0.59411,0.59316,0.02466,0.44487,0.0494,0.006832,0.006832,0.006832
34,5440.23,0.07477,0.56025,0.07956,0.72849,0.65209,0.60808,0.60639,0.01497,0.41483,0.04195,0.006733,0.006733,0.006733
35,5598.78,0.07346,0.5529,0.07749,0.7282,0.65832,0.61492,0.61143,0.01922,0.43696,0.04637,0.006634,0.006634,0.006634
36,5758.13,0.07387,0.5482,0.07649,0.77293,0.66163,0.62713,0.62562,0.01568,0.43737,0.03208,0.006535,0.006535,0.006535
37,5917.51,0.07384,0.54277,0.07627,0.71535,0.65296,0.60122,0.60056,0.01503,0.46014,0.03339,0.006436,0.006436,0.006436
38,6078.59,0.07199,0.53631,0.07552,0.74751,0.61406,0.57352,0.57281,0.01627,0.44791,0.03733,0.006337,0.006337,0.006337
39,6237.91,0.06818,0.52871,0.07057,0.75074,0.6452,0.60851,0.60813,0.01723,0.42606,0.03483,0.006238,0.006238,0.006238
40,6396.82,0.07762,0.53956,0.07734,0.72926,0.66035,0.61503,0.61449,0.02124,0.42009,0.04354,0.006139,0.006139,0.006139
41,6555.29,0.06712,0.54412,0.07032,0.75435,0.65862,0.61061,0.61019,0.01331,0.43226,0.03299,0.00604,0.00604,0.00604
42,6714.2,0.06892,0.52779,0.07037,0.76289,0.66665,0.62244,0.62214,0.01638,0.4214,0.03612,0.005941,0.005941,0.005941
43,6872.5,0.06336,0.54112,0.066,0.75053,0.653,0.60509,0.60435,0.01194,0.43329,0.02767,0.005842,0.005842,0.005842
44,7031.58,0.06224,0.52229,0.0649,0.7681,0.6669,0.61938,0.61904,0.01534,0.41824,0.0342,0.005743,0.005743,0.005743
45,7189.9,0.06387,0.5024,0.06725,0.76884,0.6426,0.60709,0.60673,0.00808,0.39434,0.02263,0.005644,0.005644,0.005644
46,7348.51,0.05624,0.5321,0.05903,0.75766,0.6483,0.61314,0.61261,0.01313,0.42171,0.0378,0.005545,0.005545,0.005545
47,7507.19,0.06481,0.51175,0.06779,0.75422,0.64876,0.60908,0.60884,0.01478,0.4384,0.03647,0.005446,0.005446,0.005446
48,7665.94,0.05786,0.51387,0.06039,0.77891,0.66761,0.62238,0.62222,0.01617,0.40872,0.03352,0.005347,0.005347,0.005347
49,7825.28,0.05468,0.50039,0.05613,0.79378,0.67736,0.64131,0.64105,0.01158,0.40569,0.02932,0.005248,0.005248,0.005248
50,7983.61,0.05202,0.50322,0.0545,0.77283,0.65898,0.62076,0.62026,0.01445,0.42673,0.03314,0.005149,0.005149,0.005149
51,8142.65,0.05727,0.50374,0.05913,0.78647,0.67192,0.62553,0.6252,0.01466,0.42619,0.03423,0.00505,0.00505,0.00505
52,8301.02,0.05476,0.50421,0.05587,0.77924,0.65695,0.61816,0.61788,0.01206,0.42925,0.02956,0.004951,0.004951,0.004951
53,8459.43,0.05488,0.48668,0.05397,0.78583,0.67835,0.62027,0.62002,0.0162,0.43124,0.0363,0.004852,0.004852,0.004852
54,8617.78,0.05361,0.47042,0.05375,0.7541,0.68094,0.63309,0.6329,0.01192,0.43506,0.03238,0.004753,0.004753,0.004753
