epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,715.01,0.19285,3.86833,0.32062,0.78312,0.20212,0.17764,0.17653,0.01085,0.74828,0.02273,0.00332934,0.00332934,0.00332934
2,1482.6,0.06602,0.72304,0.08454,0.71749,0.28553,0.24797,0.24551,0.03589,0.64977,0.05544,0.00659671,0.00659671,0.00659671
3,2253.14,0.10796,0.68093,0.12833,0.73369,0.34873,0.30176,0.2976,0.04133,0.70556,0.06079,0.00979809,0.00979809,0.00979809
4,3016.62,0.1465,0.67648,0.17135,0.67823,0.47575,0.36439,0.36204,0.03954,0.59826,0.05665,0.009703,0.009703,0.009703
5,3785.55,0.14244,0.66886,0.16882,0.60509,0.43701,0.36881,0.36731,0.025,0.56009,0.04001,0.009604,0.009604,0.009604
6,4552.29,0.13423,0.6564,0.15609,0.65883,0.40896,0.35806,0.35524,0.05908,0.5622,0.10258,0.009505,0.009505,0.009505
7,5311.41,0.1411,0.65266,0.15929,0.63235,0.49377,0.42114,0.41594,0.02404,0.53684,0.04554,0.009406,0.009406,0.009406
8,5961.65,0.12912,0.65795,0.14634,0.681,0.49058,0.4117,0.40978,0.03297,0.51197,0.05962,0.009307,0.009307,0.009307
9,6651.56,0.12766,0.64175,0.14764,0.65192,0.49713,0.42854,0.42607,0.01717,0.5542,0.03373,0.009208,0.009208,0.009208
10,7403.99,0.12568,0.64429,0.14004,0.69919,0.44807,0.39618,0.39448,0.01656,0.50858,0.03269,0.009109,0.009109,0.009109
11,8166.84,0.12381,0.63648,0.13656,0.65098,0.46428,0.3999,0.39758,0.02266,0.70423,0.04195,0.00901,0.00901,0.00901
12,8932.05,0.12832,0.63674,0.1411,0.70695,0.43914,0.38935,0.38771,0.02557,0.59912,0.04198,0.008911,0.008911,0.008911
13,9693.34,0.12215,0.64508,0.13516,0.66196,0.52223,0.4455,0.44261,0.04,0.53586,0.06573,0.008812,0.008812,0.008812
14,10455.8,0.12028,0.62952,0.13178,0.6818,0.55288,0.47785,0.47569,0.02163,0.48635,0.0367,0.008713,0.008713,0.008713
15,11221.9,0.12268,0.63095,0.13321,0.72941,0.51779,0.4638,0.46202,0.02626,0.47806,0.04192,0.008614,0.008614,0.008614
16,11875.3,0.11324,0.63028,0.12339,0.65768,0.56117,0.48529,0.48099,0.02121,0.4656,0.03876,0.008515,0.008515,0.008515
17,12559.2,0.11605,0.62811,0.12549,0.69267,0.56369,0.48809,0.48725,0.01147,0.45545,0.02871,0.008416,0.008416,0.008416
18,13310.6,0.12266,0.63682,0.13344,0.69699,0.55054,0.48397,0.48302,0.02087,0.46529,0.03616,0.008317,0.008317,0.008317
19,14079,0.1183,0.62075,0.12775,0.7055,0.55061,0.48788,0.48426,0.02035,0.46238,0.03708,0.008218,0.008218,0.008218
20,14842.3,0.11633,0.62807,0.12513,0.6868,0.54181,0.47724,0.47627,0.01104,0.45156,0.02385,0.008119,0.008119,0.008119
21,15605,0.1067,0.61312,0.1185,0.66749,0.5693,0.49443,0.48994,0.0216,0.45447,0.03763,0.00802,0.00802,0.00802
22,16372.9,0.10992,0.61067,0.11919,0.6651,0.57323,0.50086,0.49684,0.01822,0.44931,0.03925,0.007921,0.007921,0.007921
23,17142.9,0.10705,0.62276,0.1135,0.68716,0.54349,0.47982,0.47714,0.01755,0.44586,0.03677,0.007822,0.007822,0.007822
24,17805.3,0.10574,0.61288,0.11299,0.67273,0.56575,0.49269,0.49153,0.01336,0.43928,0.0257,0.007723,0.007723,0.007723
25,18484.9,0.10875,0.62113,0.11556,0.6937,0.55663,0.49342,0.49263,0.02419,0.44699,0.04081,0.007624,0.007624,0.007624
26,19230.6,0.10319,0.60637,0.10942,0.69767,0.55793,0.49444,0.49294,0.01771,0.43872,0.03532,0.007525,0.007525,0.007525
27,19993.8,0.09958,0.62473,0.10687,0.68768,0.57235,0.50299,0.50194,0.01835,0.43808,0.0355,0.007426,0.007426,0.007426
28,20763.8,0.10346,0.60718,0.11063,0.68522,0.58385,0.50646,0.5059,0.01125,0.43216,0.02373,0.007327,0.007327,0.007327
29,21528.6,0.09857,0.60877,0.10507,0.68214,0.58372,0.5098,0.50903,0.00883,0.43117,0.02027,0.007228,0.007228,0.007228
30,22295.5,0.10093,0.62144,0.10612,0.69259,0.58833,0.51488,0.51426,0.01127,0.43069,0.02435,0.007129,0.007129,0.007129
31,23055.1,0.10257,0.61479,0.10701,0.69117,0.57851,0.51005,0.50935,0.01037,0.4282,0.0224,0.00703,0.00703,0.00703
32,23711.3,0.09923,0.60439,0.10376,0.69083,0.58429,0.51538,0.51429,0.00698,0.42551,0.01815,0.006931,0.006931,0.006931
33,24397.1,0.1028,0.60623,0.10755,0.68727,0.58688,0.51524,0.51429,0.01021,0.42745,0.02546,0.006832,0.006832,0.006832
34,25145.7,0.08931,0.61038,0.09413,0.69469,0.58748,0.51433,0.51381,0.01012,0.42622,0.02466,0.006733,0.006733,0.006733
35,25909,0.089,0.60714,0.09312,0.70106,0.58781,0.51701,0.51662,0.01142,0.42663,0.02607,0.006634,0.006634,0.006634
