epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.344,0.3729,1.47361,1.09978,0.2768,0.51469,0.29513,0.26706,0.38876,1.01544,0.6605,0.0700718,0.00332536,0.00332536
2,463.567,0.23075,0.87743,0.93728,0.23823,0.52469,0.32045,0.26912,0.41725,1.26055,0.79205,0.0400058,0.00659277,0.00659277
3,673.214,0.25011,0.83384,0.94127,0.45338,0.42514,0.28289,0.27946,0.27267,0.88396,0.58767,0.00987393,0.00979418,0.00979418
4,879.357,0.21531,0.79082,0.92269,0.26181,0.58538,0.2485,0.23352,0.37001,0.98738,1.06767,0.009703,0.009703,0.009703
5,1067.95,0.17639,0.76596,0.90559,0.50041,0.51579,0.34932,0.34928,0.17106,0.75549,0.48341,0.009604,0.009604,0.009604
6,1299.97,0.1529,0.73678,0.89523,0.42158,0.48842,0.31718,0.31194,0.1682,0.86322,0.47896,0.009505,0.009505,0.009505
7,1504.07,0.14052,0.72724,0.89002,0.51816,0.46638,0.36079,0.36073,0.15944,0.75243,0.46462,0.009406,0.009406,0.009406
8,1708.18,0.12938,0.73653,0.89124,0.56344,0.50395,0.40919,0.40915,0.14761,0.67562,0.45886,0.009307,0.009307,0.009307
9,1877.33,0.12276,0.71907,0.88847,0.58948,0.5036,0.44604,0.446,0.132,0.64335,0.44023,0.009208,0.009208,0.009208
10,2098.43,0.11505,0.71084,0.8858,0.48682,0.60385,0.36253,0.34808,0.16243,0.82047,0.44168,0.009109,0.009109,0.009109
11,2306.03,0.10947,0.70819,0.88383,0.58314,0.55288,0.44779,0.44741,0.13006,0.63816,0.42699,0.00901,0.00901,0.00901
12,2514.6,0.10808,0.69558,0.88552,0.62421,0.49632,0.47276,0.47257,0.16297,0.62211,0.46525,0.008911,0.008911,0.008911
13,2703.5,0.1036,0.69023,0.88083,0.55882,0.55106,0.44901,0.44807,0.13792,0.67297,0.44418,0.008812,0.008812,0.008812
14,2910.83,0.09966,0.67861,0.8801,0.6031,0.51924,0.46012,0.45803,0.14235,0.66117,0.44707,0.008713,0.008713,0.008713
15,3115.91,0.09812,0.68043,0.87927,0.5237,0.56675,0.47747,0.47701,0.14365,0.62661,0.44878,0.008614,0.008614,0.008614
16,3560.84,0.09772,0.68214,0.87836,0.56636,0.60577,0.48088,0.48084,0.09198,0.61075,0.37835,0.008515,0.008515,0.008515
17,3759.53,0.09354,0.66146,0.87802,0.41085,0.61356,0.49541,0.4954,0.12735,0.61941,0.43474,0.008416,0.008416,0.008416
18,3973.41,0.09157,0.67704,0.87973,0.42659,0.62965,0.50425,0.50424,0.13979,0.61081,0.44194,0.008317,0.008317,0.008317
19,4179.07,0.08941,0.66188,0.87401,0.41628,0.63427,0.49966,0.49964,0.1291,0.59874,0.43376,0.008218,0.008218,0.008218
20,4385.2,0.08684,0.65006,0.87565,0.66928,0.51692,0.51995,0.5146,0.12362,0.59128,0.42474,0.008119,0.008119,0.008119
21,4582.64,0.08719,0.65944,0.87768,0.66659,0.54291,0.52129,0.52128,0.09704,0.5611,0.39203,0.00802,0.00802,0.00802
22,4790.23,0.08467,0.64294,0.87516,0.43212,0.63911,0.51756,0.517,0.12459,0.58703,0.41962,0.007921,0.007921,0.007921
23,4997.41,0.08327,0.65316,0.87789,0.46341,0.62624,0.52204,0.52185,0.14489,0.57436,0.44192,0.007822,0.007822,0.007822
24,5202.55,0.08353,0.64059,0.87649,0.47075,0.61105,0.5341,0.53406,0.09989,0.55813,0.38146,0.007723,0.007723,0.007723
25,5441.72,0.08284,0.65368,0.87424,0.46869,0.63601,0.54216,0.54215,0.06777,0.52351,0.35294,0.007624,0.007624,0.007624
26,5645.24,0.082,0.634,0.87634,0.67347,0.55954,0.54267,0.54266,0.11667,0.56713,0.4069,0.007525,0.007525,0.007525
