epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,227.303,0.15033,5.85589,0.24914,0.52342,0.43493,0.35307,0.34575,0.02903,1.01281,0.07832,0.00332526,0.00332526,0.00332526
2,435.321,0.05871,0.86541,0.07344,0.70909,0.67914,0.59494,0.58116,0.03044,0.70785,0.04609,0.00659268,0.00659268,0.00659268
3,639.733,0.09795,0.77129,0.11992,0.70685,0.66563,0.58263,0.56064,0.08483,0.69176,0.11845,0.00979409,0.00979409,0.00979409
4,848.582,0.12729,0.7456,0.15326,0.74268,0.72559,0.66441,0.65119,0.06225,0.6193,0.09532,0.009703,0.009703,0.009703
5,1050.95,0.12167,0.71009,0.14299,0.75385,0.71375,0.68926,0.66991,0.05012,0.63396,0.09837,0.009604,0.009604,0.009604
6,1260.86,0.12107,0.66878,0.14243,0.81034,0.78018,0.72835,0.72396,0.03374,0.5118,0.06094,0.009505,0.009505,0.009505
7,1459.32,0.11786,0.65745,0.13751,0.83462,0.81894,0.77888,0.76959,0.06975,0.46612,0.119,0.009406,0.009406,0.009406
8,1661.23,0.10829,0.63315,0.12472,0.81746,0.79289,0.74772,0.74457,0.03317,0.49832,0.05287,0.009307,0.009307,0.009307
9,1861.87,0.11403,0.61308,0.13009,0.84545,0.85031,0.81987,0.81393,0.04842,0.42659,0.07745,0.009208,0.009208,0.009208
10,2068.69,0.11105,0.59287,0.12584,0.8644,0.8119,0.77863,0.7759,0.03924,0.45291,0.06377,0.009109,0.009109,0.009109
11,2269.97,0.10172,0.57151,0.11552,0.8306,0.80304,0.77524,0.77274,0.03042,0.52445,0.04905,0.00901,0.00901,0.00901
12,2470.67,0.10143,0.56686,0.11258,0.86357,0.8135,0.78754,0.78628,0.03336,0.48714,0.05756,0.008911,0.008911,0.008911
13,2673.84,0.10923,0.55661,0.11717,0.91206,0.90101,0.8837,0.88304,0.03328,0.31427,0.0567,0.008812,0.008812,0.008812
14,2880.93,0.08967,0.52228,0.10223,0.90015,0.89178,0.87613,0.87559,0.01999,0.31777,0.03216,0.008713,0.008713,0.008713
15,3080.04,0.0931,0.51289,0.1022,0.89227,0.89945,0.88215,0.87655,0.02659,0.3303,0.06105,0.008614,0.008614,0.008614
16,3282.67,0.08512,0.50737,0.09405,0.91244,0.89837,0.87925,0.87716,0.03475,0.31692,0.0706,0.008515,0.008515,0.008515
17,3489.07,0.09558,0.50735,0.10166,0.92243,0.90854,0.89692,0.89506,0.02486,0.28134,0.04551,0.008416,0.008416,0.008416
18,3693.62,0.09023,0.48671,0.09691,0.94604,0.94728,0.94095,0.93943,0.02054,0.22182,0.03874,0.008317,0.008317,0.008317
19,3895.26,0.08932,0.46615,0.0946,0.94601,0.93669,0.93581,0.92786,0.02486,0.22972,0.05941,0.008218,0.008218,0.008218
20,4095.23,0.07788,0.45753,0.08569,0.95524,0.95196,0.94984,0.94707,0.02171,0.1955,0.04709,0.008119,0.008119,0.008119
21,4297.4,0.08286,0.43356,0.08753,0.95022,0.94652,0.93969,0.93424,0.02335,0.21367,0.05288,0.00802,0.00802,0.00802
