epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3347,0.28824,2.17289,1.03752,0.4548,0.83117,0.57385,0.57319,0.1791,1.21846,0.44135,0.00331723,0.00331723,0.00331723
2,84.5689,0.18884,1.26734,0.92244,0.4122,0.77517,0.5744,0.57424,0.22228,1.31584,0.45726,0.00658472,0.00658472,0.00658472
3,122.749,0.2172,1.11578,0.93018,0.43019,0.67313,0.5177,0.49877,0.24022,1.28493,0.54016,0.00978622,0.00978622,0.00978622
4,161.839,0.20372,1.01074,0.92321,0.54065,0.72503,0.63455,0.62552,0.21959,1.00776,0.45766,0.009703,0.009703,0.009703
5,199.828,0.17002,0.94417,0.90729,0.57489,0.73544,0.68494,0.67067,0.20622,0.95417,0.45754,0.009604,0.009604,0.009604
6,239.426,0.14643,0.8773,0.90245,0.53353,0.84038,0.70205,0.6949,0.19438,0.95599,0.46555,0.009505,0.009505,0.009505
7,277.087,0.13201,0.85313,0.89303,0.62828,0.78538,0.74095,0.739,0.1654,0.81099,0.40979,0.009406,0.009406,0.009406
8,314.831,0.12558,0.84218,0.89693,0.63354,0.79251,0.72046,0.68976,0.16932,0.93656,0.44718,0.009307,0.009307,0.009307
9,352.847,0.11356,0.80927,0.89014,0.60321,0.77489,0.74726,0.74519,0.13752,0.85994,0.37603,0.009208,0.009208,0.009208
10,390.8,0.10849,0.7784,0.887,0.66074,0.75623,0.7687,0.76791,0.17136,0.73351,0.43398,0.009109,0.009109,0.009109
11,428.959,0.1051,0.77689,0.88658,0.7337,0.79008,0.81463,0.81201,0.14581,0.62535,0.41089,0.00901,0.00901,0.00901
12,466.605,0.09885,0.77309,0.88671,0.59932,0.81826,0.76756,0.76013,0.16389,0.89876,0.43197,0.008911,0.008911,0.008911
13,505.015,0.0936,0.7421,0.88001,0.70526,0.82125,0.79621,0.79539,0.16576,0.68589,0.41757,0.008812,0.008812,0.008812
14,543.526,0.09178,0.7415,0.88297,0.7561,0.8055,0.85188,0.84981,0.16852,0.59279,0.43598,0.008713,0.008713,0.008713
15,582.075,0.08839,0.71391,0.88263,0.74042,0.82103,0.85145,0.82086,0.19889,0.72921,0.45681,0.008614,0.008614,0.008614
16,620.951,0.08641,0.69832,0.8846,0.78431,0.80036,0.86062,0.85905,0.17509,0.56991,0.4428,0.008515,0.008515,0.008515
17,659.489,0.08233,0.7043,0.88059,0.71282,0.7794,0.81508,0.81409,0.13032,0.68598,0.37881,0.008416,0.008416,0.008416
18,697.974,0.07979,0.66735,0.88153,0.81645,0.84937,0.88887,0.88887,0.10955,0.50521,0.36548,0.008317,0.008317,0.008317
19,736.011,0.08107,0.67406,0.88549,0.80224,0.798,0.86432,0.86376,0.15428,0.54203,0.39234,0.008218,0.008218,0.008218
20,773.687,0.07852,0.67321,0.88112,0.73962,0.8266,0.8714,0.87119,0.15318,0.66431,0.40089,0.008119,0.008119,0.008119
21,811.504,0.07857,0.64766,0.88129,0.77914,0.86095,0.86994,0.86914,0.12956,0.60718,0.37625,0.00802,0.00802,0.00802
22,849.174,0.07386,0.62656,0.88381,0.80711,0.88436,0.92872,0.92612,0.10836,0.49703,0.36415,0.007921,0.007921,0.007921
23,887.56,0.07262,0.62713,0.8821,0.83752,0.84066,0.90657,0.90294,0.1321,0.50879,0.3821,0.007822,0.007822,0.007822
24,925.807,0.07492,0.63269,0.88316,0.80812,0.86956,0.90016,0.89825,0.15602,0.50027,0.41535,0.007723,0.007723,0.007723
25,963.34,0.07116,0.60032,0.8812,0.83887,0.82669,0.91528,0.91436,0.13121,0.51333,0.39268,0.007624,0.007624,0.007624
26,1001.24,0.07168,0.605,0.87716,0.83216,0.89272,0.92465,0.92438,0.13066,0.43531,0.38131,0.007525,0.007525,0.007525
27,1039.48,0.06694,0.57995,0.87636,0.84115,0.90602,0.93693,0.93562,0.136,0.41421,0.39697,0.007426,0.007426,0.007426
28,1078.01,0.06706,0.58682,0.87842,0.8733,0.8839,0.93975,0.93933,0.14468,0.41389,0.40572,0.007327,0.007327,0.007327
29,1117.36,0.06534,0.58161,0.87669,0.86261,0.88986,0.94597,0.94588,0.13623,0.40912,0.39531,0.007228,0.007228,0.007228
