epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,84.1576,0.17899,10.0642,0.29982,0.81099,0.21706,0.17009,0.16093,0.05853,1.23148,0.16508,0.000366172,0.000366172,0.000366172
2,161.66,0.0403,0.8549,0.06899,0.39547,0.2251,0.16979,0.16139,0.06618,1.50318,0.18861,0.000729214,0.000729214,0.000729214
3,237.78,0.04963,0.83453,0.08615,nan,0.11774,0.13725,0.13374,nan,nan,nan,0.00108492,0.00108492,0.00108492
4,312.99,0.07076,0.91855,0.12738,0.52781,0.1935,0.14785,0.14159,0.06939,1.3296,0.18309,0.001078,0.001078,0.001078
5,387.397,0.06572,0.84621,0.10964,0.88307,0.29722,0.24778,0.2472,0.03573,0.93037,0.09418,0.001067,0.001067,0.001067
6,463.898,0.03689,0.74922,0.06056,0.69633,0.38399,0.29818,0.29734,0.00945,0.66708,0.0222,0.00105601,0.00105601,0.00105601
7,540.392,0.03025,0.70097,0.05007,0.7981,0.39101,0.33713,0.33372,0.01676,0.56329,0.02734,0.00104501,0.00104501,0.00104501
8,639.52,0.02745,0.68357,0.04319,0.88387,0.3755,0.32645,0.32352,0.02554,0.63474,0.08002,0.00103401,0.00103401,0.00103401
9,723.535,0.02267,0.64631,0.03701,0.75656,0.46859,0.37149,0.37143,0.01561,0.5865,0.04165,0.00102301,0.00102301,0.00102301
10,799.825,0.01993,0.655,0.03179,0.62723,0.43168,0.36086,0.35993,0.00753,0.60308,0.01606,0.00101201,0.00101201,0.00101201
11,874.188,0.02102,0.66873,0.0333,0.79561,0.47134,0.38135,0.3807,0.01042,0.53046,0.02831,0.00100101,0.00100101,0.00100101
12,950.792,0.01846,0.64794,0.02914,0.57868,0.47657,0.37259,0.37249,0.01182,0.59891,0.02612,0.000990012,0.000990012,0.000990012
13,1026.04,0.019,0.60887,0.03039,0.7017,0.37024,0.29674,0.29672,0.02041,0.68766,0.058,0.000979013,0.000979013,0.000979013
14,1101.32,0.01775,0.5753,0.02809,nan,0.66431,0.36419,0.36321,nan,nan,nan,0.000968014,0.000968014,0.000968014
15,1175.51,0.01526,0.60481,0.02281,0.72299,0.48364,0.41911,0.41602,0.01458,0.50071,0.04584,0.000957015,0.000957015,0.000957015
16,1260.54,0.01856,0.56944,0.02964,nan,0.53925,0.33642,0.33614,nan,nan,nan,0.000946016,0.000946016,0.000946016
17,1358.77,0.01753,0.58103,0.02801,0.52687,0.5012,0.49293,0.49272,0.00438,0.53344,0.00866,0.000935018,0.000935018,0.000935018
18,1434.64,0.01513,0.52955,0.02344,0.72492,0.4717,0.42241,0.42223,0.00804,0.50158,0.01468,0.000924019,0.000924019,0.000924019
19,1509.2,0.0154,0.58566,0.02426,0.70498,0.41223,0.38759,0.38746,0.00367,0.74993,0.01025,0.00091302,0.00091302,0.00091302
20,1584.77,0.01405,0.50969,0.02365,0.76598,0.51363,0.44329,0.44279,0.00614,0.60619,0.01756,0.000902021,0.000902021,0.000902021
21,1659.73,0.01434,0.5943,0.02233,0.75518,0.49407,0.44762,0.44624,0.0287,0.6519,0.07408,0.000891022,0.000891022,0.000891022
22,1734.09,0.01474,0.57057,0.02386,0.57416,0.46997,0.3972,0.39472,0.00668,0.5627,0.01748,0.000880023,0.000880023,0.000880023
23,1808.54,0.01375,0.52941,0.02139,nan,0.32504,0.27375,0.27357,nan,nan,nan,0.000869024,0.000869024,0.000869024
24,1878.07,0.014,0.54841,0.02221,0.78791,0.51882,0.46366,0.46275,0.00462,0.45179,0.0107,0.000858025,0.000858025,0.000858025
25,1976.19,0.01365,0.54907,0.02055,0.60813,0.48637,0.41672,0.41369,0.00251,0.46942,0.00712,0.000847026,0.000847026,0.000847026
26,2056.9,0.01302,0.52914,0.01977,0.74478,0.52689,0.41618,0.41255,0.00985,0.64512,0.02532,0.000836027,0.000836027,0.000836027
27,2132.24,0.01304,0.50884,0.02043,0.76897,0.53486,0.46969,0.46797,0.00616,0.43078,0.01883,0.000825029,0.000825029,0.000825029
28,2208.84,0.0122,0.55031,0.01857,0.71962,0.50254,0.45562,0.45337,0.00352,0.44702,0.00885,0.00081403,0.00081403,0.00081403
29,2283.19,0.01096,0.52388,0.0156,0.63478,0.564,0.48409,0.48373,0.00487,0.46379,0.01025,0.000803031,0.000803031,0.000803031
30,2358.8,0.01167,0.51493,0.01659,0.71184,0.61769,0.52528,0.52519,0.00536,0.55942,0.01521,0.000792032,0.000792032,0.000792032
31,2434.23,0.01191,0.52239,0.01822,0.75911,0.51036,0.44786,0.44632,0.00787,0.45599,0.02454,0.000781033,0.000781033,0.000781033
32,2509.35,0.01176,0.51436,0.01774,0.57994,0.58616,0.5287,0.52675,0.00582,0.47903,0.01445,0.000770034,0.000770034,0.000770034
