epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3067,0.50521,2.65565,1.23229,1,0.07073,0.37409,0.22945,0.88358,2.95877,1.29461,0.000362104,0.000362104,0.000362104
2,47.7716,0.19552,1.20349,0.94214,0.88309,0.15044,0.38792,0.37386,0.33386,2.49146,0.57856,0.000725186,0.000725186,0.000725186
3,66.3432,0.20033,1.01403,0.941,0.40788,0.59643,0.30342,0.24028,0.54845,5.7895,0.77059,0.00108094,0.00108094,0.00108094
4,84.4574,0.19053,0.8925,0.93225,0.28461,0.48113,0.41561,0.32591,0.52256,1.64912,0.87414,0.001078,0.001078,0.001078
5,102.64,0.18554,0.84114,0.93428,0.38328,0.66496,0.42871,0.36687,0.42969,1.24428,0.77531,0.001067,0.001067,0.001067
6,120.536,0.17122,0.7888,0.91797,0.4084,0.70653,0.52533,0.52443,0.19799,0.86107,0.35668,0.00105601,0.00105601,0.00105601
7,138.332,0.15456,0.73984,0.91509,0.42445,0.77763,0.47687,0.44147,0.30066,1.66717,0.41522,0.00104501,0.00104501,0.00104501
8,156.224,0.12981,0.68408,0.90342,0.47841,0.7352,0.59217,0.59104,0.23863,0.7533,0.44495,0.00103401,0.00103401,0.00103401
9,174.255,0.14163,0.68687,0.91839,0.28204,0.64521,0.37785,0.34333,0.30533,1.5911,0.54248,0.00102301,0.00102301,0.00102301
10,191.586,0.12471,0.65557,0.90108,0.46617,0.73424,0.61539,0.61344,0.1647,0.63869,0.38835,0.00101201,0.00101201,0.00101201
11,209.269,0.11686,0.65901,0.89657,0.46045,0.73454,0.61679,0.6034,0.2461,0.7248,0.40023,0.00100101,0.00100101,0.00100101
12,226.882,0.12096,0.65372,0.90482,0.52386,0.67,0.61085,0.60685,0.19151,0.66709,0.40709,0.000990012,0.000990012,0.000990012
13,244.459,0.11535,0.64045,0.90387,0.47977,0.70849,0.56946,0.5654,0.16842,0.72686,0.38522,0.000979013,0.000979013,0.000979013
14,262.759,0.11064,0.62533,0.89797,0.44632,0.73745,0.61325,0.61237,0.14916,0.59919,0.36012,0.000968014,0.000968014,0.000968014
15,280.817,0.10816,0.61073,0.90561,0.24068,0.57632,0.33423,0.1072,0.93235,2.62488,1.00973,0.000957015,0.000957015,0.000957015
16,298.738,0.10632,0.58601,0.88744,0.41668,0.66062,0.50806,0.41214,0.40432,2.92816,0.62569,0.000946016,0.000946016,0.000946016
17,316.507,0.1032,0.59984,0.89655,0.55167,0.72123,0.63837,0.6373,0.20413,0.56847,0.41325,0.000935018,0.000935018,0.000935018
18,334.042,0.09889,0.56417,0.89904,0.57434,0.61027,0.60091,0.5964,0.21223,0.89822,0.41238,0.000924019,0.000924019,0.000924019
19,351.308,0.10331,0.59099,0.89445,0.44176,0.70043,0.59537,0.5945,0.17147,0.60504,0.37088,0.00091302,0.00091302,0.00091302
20,368.775,0.0955,0.56953,0.89277,0.47228,0.75293,0.609,0.6077,0.16439,0.58145,0.37548,0.000902021,0.000902021,0.000902021
21,386.973,0.09164,0.59079,0.89059,0.53345,0.72472,0.62214,0.62201,0.11983,0.59313,0.31479,0.000891022,0.000891022,0.000891022
22,404.872,0.09845,0.59293,0.88729,0.55877,0.71607,0.65273,0.65273,0.15389,0.56123,0.35251,0.000880023,0.000880023,0.000880023
23,422.463,0.09084,0.59759,0.88883,0.59721,0.7118,0.65889,0.65594,0.14961,0.58559,0.34869,0.000869024,0.000869024,0.000869024
24,439.93,0.08772,0.56108,0.89444,0.54936,0.77427,0.62773,0.62771,0.1159,0.60367,0.29996,0.000858025,0.000858025,0.000858025
25,457.352,0.08188,0.55106,0.87895,0.57736,0.75725,0.65576,0.6553,0.15625,0.52875,0.35383,0.000847026,0.000847026,0.000847026
26,474.864,0.08351,0.5474,0.88822,0.59333,0.68029,0.63321,0.62188,0.18692,0.60036,0.39003,0.000836027,0.000836027,0.000836027
27,492.964,0.07997,0.52083,0.88827,0.47715,0.76677,0.62495,0.58209,0.15405,0.7219,0.32812,0.000825029,0.000825029,0.000825029
28,511.017,0.08561,0.57429,0.89537,0.75445,0.60966,0.66864,0.57614,0.2286,0.68166,0.37238,0.00081403,0.00081403,0.00081403
29,532.901,0.08225,0.5565,0.88029,0.37319,0.70867,0.5436,0.4953,0.14892,1.03203,0.32961,0.000803031,0.000803031,0.000803031
30,554.692,0.0854,0.56935,0.89195,0.56719,0.77936,0.66515,0.66515,0.12203,0.50785,0.32229,0.000792032,0.000792032,0.000792032
31,576.568,0.08283,0.55859,0.88959,0.44473,0.63504,0.58034,0.56717,0.14735,1.00754,0.3287,0.000781033,0.000781033,0.000781033
32,598.57,0.08011,0.53222,0.8853,0.53068,0.69454,0.67629,0.67596,0.09904,0.5352,0.2785,0.000770034,0.000770034,0.000770034
33,620.173,0.07765,0.52265,0.8763,0.55433,0.71642,0.67139,0.67119,0.08153,0.54542,0.27501,0.000759035,0.000759035,0.000759035
34,637.418,0.07593,0.536,0.88341,0.46866,0.72702,0.62592,0.62574,0.0978,0.58441,0.29481,0.000748036,0.000748036,0.000748036
35,654.925,0.07386,0.55698,0.88592,0.46334,0.61759,0.5806,0.57313,0.09016,0.85815,0.27783,0.000737037,0.000737037,0.000737037
36,672.543,0.0744,0.51457,0.8836,0.42962,0.74549,0.64635,0.64475,0.10316,0.9607,0.29047,0.000726038,0.000726038,0.000726038
37,690.117,0.07147,0.52668,0.88218,0.4438,0.63991,0.53889,0.53868,0.08124,0.75437,0.27351,0.00071504,0.00071504,0.00071504
38,707.801,0.07268,0.54171,0.88361,0.58421,0.70414,0.67852,0.67852,0.10587,0.50527,0.28845,0.000704041,0.000704041,0.000704041
39,725.652,0.07356,0.51396,0.88242,0.60199,0.67934,0.6606,0.65477,0.18001,0.66274,0.30819,0.000693042,0.000693042,0.000693042
40,743.404,0.06928,0.49115,0.87606,0.58593,0.75267,0.69616,0.69616,0.16222,0.51711,0.35395,0.000682043,0.000682043,0.000682043
41,760.676,0.06965,0.50874,0.88493,0.54464,0.7445,0.67139,0.67139,0.09988,0.58208,0.28386,0.000671044,0.000671044,0.000671044
42,778.07,0.06732,0.50731,0.88579,0.60442,0.68448,0.64946,0.6492,0.131,0.57059,0.33579,0.000660045,0.000660045,0.000660045
43,795.431,0.0678,0.52123,0.87421,0.60713,0.72878,0.70355,0.70355,0.13048,0.47812,0.33304,0.000649046,0.000649046,0.000649046
44,812.959,0.06575,0.52721,0.87667,0.68682,0.64417,0.68387,0.68346,0.15077,0.54203,0.35849,0.000638047,0.000638047,0.000638047
45,831.191,0.06695,0.5187,0.87769,0.67662,0.61893,0.67815,0.65463,0.15377,0.58279,0.319,0.000627048,0.000627048,0.000627048
46,848.458,0.06398,0.50114,0.88467,0.62089,0.75363,0.7043,0.7043,0.10723,0.49846,0.29433,0.000616049,0.000616049,0.000616049
