epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2273.41,0.0755,2.35207,0.12052,0.68476,0.51973,0.45471,0.45238,0.00697,0.89237,0.01818,0.00333259,0.00333259,0.00333259
2,4478.1,0.052,0.83449,0.05889,0.74375,0.6133,0.549,0.54626,0.0098,0.74147,0.01641,0.00659993,0.00659993,0.00659993
3,6615.2,0.10272,0.80881,0.1152,0.76069,0.6618,0.60605,0.60412,0.01035,0.62399,0.02274,0.00980127,0.00980127,0.00980127
4,8755.14,0.1234,0.80748,0.13705,0.76725,0.67553,0.61953,0.61781,0.01157,0.61919,0.01964,0.009703,0.009703,0.009703
5,10895.9,0.11755,0.79105,0.12609,0.77577,0.70107,0.64574,0.64487,0.01245,0.58712,0.02411,0.009604,0.009604,0.009604
6,13036.2,0.11603,0.78651,0.12359,0.78438,0.71018,0.65694,0.65631,0.00721,0.56926,0.0154,0.009505,0.009505,0.009505
7,15170.2,0.11604,0.77168,0.12161,0.7868,0.71594,0.66264,0.662,0.00939,0.56151,0.01997,0.009406,0.009406,0.009406
8,17302.3,0.11361,0.76877,0.11981,0.79464,0.71706,0.66723,0.66676,0.00611,0.55463,0.01591,0.009307,0.009307,0.009307
9,19438.4,0.11204,0.76107,0.11722,0.79796,0.71945,0.67062,0.67018,0.00683,0.55273,0.01778,0.009208,0.009208,0.009208
10,21576.3,0.09399,0.75525,0.10364,0.80434,0.72028,0.67545,0.67504,0.00736,0.55087,0.02066,0.009109,0.009109,0.009109
11,23711.4,0.06936,0.75108,0.0829,0.81029,0.72341,0.68004,0.67967,0.008,0.55711,0.02362,0.00901,0.00901,0.00901
12,25848,0.06442,0.74552,0.07628,0.81651,0.7273,0.68692,0.68643,0.00821,0.56758,0.02567,0.008911,0.008911,0.008911
13,27984.3,0.06224,0.73712,0.06958,0.82095,0.72858,0.68946,0.68873,0.01046,0.56908,0.03182,0.008812,0.008812,0.008812
14,30119,0.06359,0.72486,0.07011,0.78988,0.73248,0.68449,0.68408,0.01341,0.58311,0.03945,0.008713,0.008713,0.008713
15,32254.7,0.05955,0.71846,0.0658,0.82375,0.74242,0.70177,0.70151,0.0187,0.56863,0.05321,0.008614,0.008614,0.008614
16,34391.4,0.06091,0.70991,0.06651,0.8286,0.75809,0.72025,0.71994,0.02522,0.55768,0.07505,0.008515,0.008515,0.008515
17,36532.8,0.05842,0.70229,0.06404,0.52869,0.72626,0.55205,0.55188,0.02917,0.98741,0.08786,0.008416,0.008416,0.008416
18,38668,0.05791,0.69505,0.06423,0.67844,0.76455,0.67807,0.67779,0.02908,0.65991,0.08367,0.008317,0.008317,0.008317
19,40806.9,0.05546,0.68252,0.06078,0.64265,0.78246,0.6557,0.65493,0.02964,0.7461,0.08899,0.008218,0.008218,0.008218
20,42940.9,0.05359,0.67305,0.06055,0.58298,0.74086,0.65099,0.64689,0.05755,0.90332,0.18235,0.008119,0.008119,0.008119
21,45076.3,0.05154,0.66517,0.05963,0.86204,0.83479,0.80888,0.80831,0.05018,0.45484,0.15861,0.00802,0.00802,0.00802
22,47210.3,0.05553,0.66095,0.06339,0.89287,0.85387,0.83429,0.83401,0.04281,0.41613,0.12947,0.007921,0.007921,0.007921
23,49343.7,0.05507,0.64747,0.06262,0.9073,0.86936,0.85343,0.85325,0.03729,0.38638,0.11212,0.007822,0.007822,0.007822
24,51479.9,0.05655,0.63722,0.06586,0.91869,0.88594,0.8715,0.87133,0.03133,0.35745,0.08981,0.007723,0.007723,0.007723
25,53617.2,0.05047,0.6323,0.05775,0.86887,0.9002,0.8598,0.85968,0.02442,0.39742,0.07287,0.007624,0.007624,0.007624
26,55753.4,0.04982,0.61913,0.05574,0.93376,0.91476,0.90479,0.90365,0.02094,0.29804,0.06071,0.007525,0.007525,0.007525
27,57889.9,0.05349,0.6136,0.05986,0.92403,0.92357,0.91055,0.90973,0.02162,0.29101,0.0577,0.007426,0.007426,0.007426
28,60021.3,0.0457,0.6027,0.05207,0.73388,0.92173,0.81947,0.81909,0.03773,0.66167,0.12747,0.007327,0.007327,0.007327
29,62153.3,0.04936,0.59585,0.05578,0.95213,0.94187,0.93712,0.93702,0.02083,0.22958,0.06603,0.007228,0.007228,0.007228
30,64288.2,0.04078,0.58329,0.04579,0.95746,0.94761,0.94255,0.94246,0.01355,0.20089,0.04129,0.007129,0.007129,0.007129
31,66422.2,0.0453,0.58006,0.05078,0.95992,0.95137,0.94705,0.94695,0.0117,0.18479,0.03402,0.00703,0.00703,0.00703
32,68553.8,0.04138,0.57074,0.04728,0.96246,0.95529,0.95335,0.95304,0.00998,0.17153,0.02774,0.006931,0.006931,0.006931
33,70692.1,0.04259,0.56218,0.04855,0.96607,0.95899,0.95617,0.95587,0.00908,0.15932,0.02408,0.006832,0.006832,0.006832
