epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,818.739,0.16408,1.51258,0.9355,0.58954,0.65808,0.63192,0.63185,0.14418,0.87485,0.44398,0.00333184,0.00333184,0.00333184
2,1682.84,0.1363,1.01965,0.89241,0.46449,0.6949,0.60675,0.60452,0.16065,1.06171,0.45718,0.00659919,0.00659919,0.00659919
3,2548.41,0.13027,0.98777,0.89102,0.59711,0.68206,0.65071,0.65036,0.14393,0.78566,0.43029,0.00980053,0.00980053,0.00980053
4,3409.1,0.10156,0.96275,0.88198,0.63455,0.71562,0.69975,0.69952,0.13021,0.74137,0.42602,0.009703,0.009703,0.009703
5,4274.99,0.08107,0.92435,0.87664,0.67267,0.70356,0.71995,0.71993,0.13713,0.72003,0.43848,0.009604,0.009604,0.009604
6,5134.43,0.0734,0.9065,0.87261,0.65957,0.72702,0.73188,0.73188,0.11811,0.70494,0.40263,0.009505,0.009505,0.009505
7,5941.71,0.06895,0.88814,0.87265,0.66781,0.71535,0.72596,0.72591,0.10762,0.72791,0.39648,0.009406,0.009406,0.009406
8,6768.34,inf,0.88193,0.87212,0.67456,0.71164,0.72925,0.7292,0.11075,0.73251,0.40258,0.009307,0.009307,0.009307
9,7622.35,inf,0.87509,0.87132,0.66725,0.72043,0.73157,0.73153,0.11166,0.72863,0.40215,0.009208,0.009208,0.009208
10,8473.8,0.06208,0.8645,0.87,0.67155,0.72287,0.73463,0.73459,0.10932,0.72447,0.40166,0.009109,0.009109,0.009109
11,9330.88,0.05985,0.85732,0.86944,0.67607,0.72233,0.73792,0.73788,0.11398,0.7201,0.40263,0.00901,0.00901,0.00901
12,10186.2,0.05981,0.85357,0.8699,0.67803,0.71773,0.73759,0.73755,0.10855,0.71884,0.39871,0.008911,0.008911,0.008911
13,11039.8,0.05954,0.8535,0.86934,0.68329,0.71549,0.74001,0.73998,0.10518,0.70673,0.39266,0.008812,0.008812,0.008812
14,11847.7,inf,0.84397,0.8702,0.68272,0.72201,0.7436,0.74357,0.10242,0.69795,0.38251,0.008713,0.008713,0.008713
15,12669.8,0.05778,0.84498,0.86841,0.68058,0.7265,0.74687,0.74684,0.09328,0.68396,0.37266,0.008614,0.008614,0.008614
16,13527.6,inf,0.84243,0.86928,0.68736,0.72463,0.75144,0.75116,0.11497,0.70663,0.39963,0.008515,0.008515,0.008515
17,14386.3,inf,0.83662,0.86833,0.68934,0.7278,0.75636,0.75594,0.17526,0.73031,0.47142,0.008416,0.008416,0.008416
18,15241.1,0.05475,0.83403,0.86947,0.69037,0.73903,0.76007,0.76004,0.16495,0.71882,0.45992,0.008317,0.008317,0.008317
19,16100.3,0.0554,0.83008,0.86814,0.69087,0.74211,0.76418,0.76413,0.15603,0.70907,0.44569,0.008218,0.008218,0.008218
20,16950.6,inf,0.82691,0.86986,0.69632,0.73895,0.76732,0.76726,0.14966,0.70647,0.43583,0.008119,0.008119,0.008119
21,17770,0.05358,0.82577,0.86892,0.702,0.74103,0.77152,0.77134,0.14378,0.69527,0.42483,0.00802,0.00802,0.00802
22,18582.6,inf,0.82108,0.86922,0.70793,0.73891,0.77625,0.77542,0.14256,0.68863,0.41769,0.007921,0.007921,0.007921
23,19435.6,0.05259,0.81915,0.86779,0.69755,0.75489,0.77994,0.77863,0.14072,0.68482,0.4129,0.007822,0.007822,0.007822
24,20301.5,0.05268,0.81373,0.868,0.70525,0.75223,0.78351,0.7814,0.14355,0.68261,0.41094,0.007723,0.007723,0.007723
25,21155.2,0.05256,0.81341,0.86749,0.70585,0.75645,0.78796,0.78693,0.14136,0.67028,0.41253,0.007624,0.007624,0.007624
26,22007.3,0.05168,0.80927,0.86855,0.7087,0.76301,0.79313,0.79226,0.13933,0.66227,0.41105,0.007525,0.007525,0.007525
27,22861.8,0.05199,0.80674,0.86785,0.72103,0.75822,0.79804,0.79784,0.13837,0.64873,0.41799,0.007426,0.007426,0.007426
28,23680.9,inf,0.80214,0.86914,0.72202,0.76342,0.80247,0.8023,0.14174,0.64134,0.41663,0.007327,0.007327,0.007327
29,24504.5,0.05072,0.80312,0.86771,0.72486,0.7655,0.80597,0.80581,0.13929,0.6365,0.41526,0.007228,0.007228,0.007228
30,25359.3,0.05074,0.79589,0.86878,0.7306,0.76774,0.81166,0.81123,0.14329,0.62786,0.4136,0.007129,0.007129,0.007129
31,26216.8,0.05091,0.80076,0.86757,0.73062,0.77592,0.81666,0.81655,0.14028,0.61963,0.4124,0.00703,0.00703,0.00703
32,27072.6,0.04938,0.78787,0.8684,0.73181,0.78368,0.82254,0.82249,0.1354,0.60743,0.41024,0.006931,0.006931,0.006931
33,27929.8,0.05032,0.79215,0.86824,0.73608,0.7838,0.82739,0.82732,0.13172,0.6026,0.40515,0.006832,0.006832,0.006832
34,28786.2,0.04945,0.78669,0.8676,0.73514,0.7874,0.82976,0.8297,0.12734,0.59854,0.40291,0.006733,0.006733,0.006733
35,29595.1,0.05029,0.78873,0.86931,0.73163,0.79949,0.83535,0.83529,0.12873,0.58565,0.40303,0.006634,0.006634,0.006634
36,30438.3,0.04942,0.78564,0.86838,0.73756,0.79706,0.83809,0.83803,0.12755,0.58447,0.40119,0.006535,0.006535,0.006535
37,31291.9,0.04869,0.77971,0.86769,0.73964,0.79981,0.84167,0.84162,0.11957,0.5797,0.39419,0.006436,0.006436,0.006436
38,32149.4,0.04774,0.77715,0.86717,0.73982,0.80935,0.84843,0.84838,0.11759,0.57155,0.39404,0.006337,0.006337,0.006337
39,33004.1,0.04814,0.77878,0.86817,0.7481,0.80971,0.85305,0.853,0.11354,0.56588,0.39235,0.006238,0.006238,0.006238
40,33861.4,0.04819,0.77334,0.86689,0.75475,0.80562,0.85585,0.85581,0.10533,0.56142,0.38522,0.006139,0.006139,0.006139
41,34711.1,0.04913,0.76752,0.86813,0.76673,0.80036,0.86052,0.86048,0.10378,0.55495,0.38635,0.00604,0.00604,0.00604
42,35521.6,0.04728,0.76451,0.86819,0.77,0.80696,0.86501,0.86498,0.10235,0.55118,0.38433,0.005941,0.005941,0.005941
43,36369.7,0.04719,0.76299,0.86739,0.76911,0.81481,0.86753,0.86749,0.0974,0.54481,0.37899,0.005842,0.005842,0.005842
44,37222.2,0.04617,0.76572,0.86732,0.78599,0.80869,0.87104,0.871,0.09703,0.53982,0.37832,0.005743,0.005743,0.005743
45,38076.6,inf,0.75872,0.86776,0.79557,0.80529,0.87632,0.87628,0.09478,0.53447,0.3768,0.005644,0.005644,0.005644
